STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LT,Lithuania,2021,,47.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LT,Lithuania,2022,,46.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LT,Lithuania,2023,,48.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LT,Lithuania,2024,,50.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LU,Luxembourg,2020,,50.0,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LU,Luxembourg,2021,,47.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LU,Luxembourg,2022,,49.2,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LU,Luxembourg,2023,,48.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LU,Luxembourg,2024,,47.3,,p,provisional,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LV,Latvia,2020,,51.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LV,Latvia,2021,,49.2,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LV,Latvia,2022,,49.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LV,Latvia,2023,,52.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),LV,Latvia,2024,,55.4,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ME,Montenegro,2020,,44.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ME,Montenegro,2021,,40.6,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ME,Montenegro,2022,,40.1,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),ME,Montenegro,2023,,41.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MK,North Macedonia,2020,,38.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MK,North Macedonia,2021,,38.1,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MK,North Macedonia,2022,,37.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MK,North Macedonia,2023,,37.3,,e,estimated,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MT,Malta,2020,,44.9,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MT,Malta,2021,,41.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MT,Malta,2022,,41.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MT,Malta,2023,,40.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),MT,Malta,2024,,41.7,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),NL,Netherlands,2020,,49.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),NL,Netherlands,2021,,47.5,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),NL,Netherlands,2022,,45.8,,,,,
dataflow,ESTAT:TEC00013(1.0),Compensation of employees,A,Annual,D1,Compensation of employees,PC_GDP,Percentage of gross domestic product (GDP),NL,Netherlands,2023,,46.6,,,,,
